pygame 2.6.1 (SDL 2.28.4, Python 3.12.8)
Hello from the pygame community. https://www.pygame.org/contribute.html
Clicked cell (2, 0) -> sent OSC
Clicked cell (2, 1) -> sent OSC
Clicked cell (1, 1) -> sent OSC
Clicked cell (1, 0) -> sent OSC
Clicked cell (1, 2) -> sent OSC
Clicked cell (2, 2) -> sent OSC
Clicked cell (3, 2) -> sent OSC
Clicked cell (3, 1) -> sent OSC
Clicked cell (4, 1) -> sent OSC
Clicked cell (4, 2) -> sent OSC
Clicked cell (2, 1) -> sent OSC
Clicked cell (2, 1) -> sent OSC
Clicked cell (0, 1) -> sent OSC
Clicked cell (0, 1) -> sent OSC
Clicked cell (0, 0) -> sent OSC
Clicked cell (0, 0) -> sent OSC
Clicked cell (1, 0) -> sent OSC
Clicked cell (1, 0) -> sent OSC
Clicked cell (1, 1) -> sent OSC
Clicked cell (1, 1) -> sent OSC
Clicked cell (1, 1) -> sent OSC
